IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA1,CA11,CA12,CA20_15,CA23A,CA7,CA8,CA8B3,HABDE_15,OS1,PER1,Q1,Q31,STRADEF,CONTRAT_15,DEST,LIEUNAIS,PCS_15,PHD,PONDEF,POSPRO_15,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
A0038206,24,111,RHÔNE-ALPES,82,,2,7,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387F,16,37.001961927,71,82,5200,1,12,12,2
A0038240,23,111,RHÔNE-ALPES,82,,6,6,2,2,,,,02,2,1,2,2,49,,CER,00,,16,44.583135086,,82,,2,0,0,2
A0038310,24,111,PAYS DE LA LOIRE,52,,4,4,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384A,16,35.996549195,73,82,1800,1,12,12,2
A0038328,24,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,01,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,382A,16,34.842526466,71,82,2250.328125,1,0,9,2
A0038333,23,111,PAYS DE LA LOIRE,52,,1,4,2,2,,,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384B,16,34.522089907,71,82,2380,1,5,5,2
A0038341,28,112,LIMOUSIN,74,,6,3,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,47.674070491,71,82,2075,1,3,3,2
A0038368,23,111,HAUTE-NORMANDIE,23,,6,6,2,1,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,36.425044677,71,31,2423,1,2,2,2
A0038395,25,111,ÎLE-DE-FRANCE,11,,6,6,2,2,3,3,2,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,10,382C,14M,59.704861814,71,11,2983.65625,1,0,0,2
A0038414,25,111,ÎLE-DE-FRANCE,11,,1,3,1,2,2,2,2,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,09,387D,06I,37.61787958,71,11,2200,1,1,1,2
A0038467,25,111,ÎLE-DE-FRANCE,11,,5,3,1,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,372C,14M,58.373962627,71,11,2592,1,0,0,2
A0038628,25,111,ÎLE-DE-FRANCE,11,,3,3,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,374D,16,74.544448802,73,82,2406,1,0,0,2
A0038651,23,111,RHÔNE-ALPES,82,,1,3,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,12M,25.503102352,71,82,2600,1,0,14,2
A0038697,27,111,MIDI-PYRÉNÉES,73,,6,1,2,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,373B,16,58.050387948,71,73,1632,1,0,0,2
A0038731,23,111,MIDI-PYRÉNÉES,73,,5,6,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387E,16,42.092850386,71,73,2862.3125,1,0,0,2
A0038756,25,111,MIDI-PYRÉNÉES,73,,6,6,2,1,,2,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384A,16,29.951738894,71,73,2033.328125,1,0,8,2
A0038769,23,111,PAYS DE LA LOIRE,52,,5,5,2,2,,,,01,2,1,1,2,49,01 Non salarié,CER,00,483A,07T,42.02765004,,52,,1,0,,2
A0038785,24,111,ÎLE-DE-FRANCE,11,,5,5,2,2,,,,03,2,1,1,2,49,,DGA,00,,16,68.861249489,,52,,5,6,,2
A0038791,26,111,ÎLE-DE-FRANCE,11,,,,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",DGA,00,471A,16,48.596154282,71,52,1405.65625,1,6,17,2
A0038824,24,111,ÎLE-DE-FRANCE,11,,5,5,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",DGA,00,474A,16,54.4600866,92,52,2558.328125,1,7,20,2
A0038857,23,111,PAYS DE LA LOIRE,52,,6,3,2,2,,,,03,2,1,1,2,49,04 Emploi à durée déterminée,DGA,00,423B,16,66.137237773,05,52,1743,1,5,9,2
A0038860,25,111,ÎLE-DE-FRANCE,11,,3,3,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",DGA,00,387F,16,33.284591535,71,52,2625,1,0,6,2
A0038923,24,111,LANGUEDOC-ROUSSILLON,91,,4,3,2,2,,,,01,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,381A,16,69.296381807,71,91,2207,1,4,33,2
A0038933,24,111,ÎLE-DE-FRANCE,11,,7,7,2,2,,,,03,1,1,1,2,49,04 Emploi à durée déterminée,CER,00,332B,16,43.716053535,71,91,1490,1,6,,2
A0038934,24,111,RHÔNE-ALPES,82,,6,6,2,2,,1,,03,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,09,353C,16,66.29957633,71,91,2100,1,5,54,2
A0038981,24,400,HAUTE-NORMANDIE,23,,5,5,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,372B,16,55.834573423,71,91,2233,1,0,0,2
A0039040,23,111,ALSACE,42,,6,6,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,381A,13M,52.048136686,71,91,4750,1,1,37,2
A0039138,23,400,AUVERGNE,83,,1,1,2,2,3,3,2,03,1,1,1,2,49,,CER,00,,16,47.83134789,,83,,2,6,6,2
A0039445,22,111,RHÔNE-ALPES,82,,4,4,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387B,16,50.671841703,71,82,1136,1,6,6,2
A0039575,24,300,LORRAINE,41,,1,1,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,373B,16,144.30895866,71,82,1501,1,6,18,2
A0039596,26,111,ÎLE-DE-FRANCE,11,,4,6,2,2,1,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,30.792950916,71,11,2250,1,6,6,2
A0039619,25,111,ÎLE-DE-FRANCE,11,,3,1,2,2,3,3,1,03,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,07,387D,16,69.377318061,71,11,3630,1,0,0,2
A0039637,24,111,ÎLE-DE-FRANCE,11,,6,5,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,380A,16,32.167751987,73,11,2530,1,0,0,2
A0039673,24,111,ÎLE-DE-FRANCE,11,,1,1,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,31.390275011,71,11,2500,1,0,0,2
A0039713,23,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,41.54137234,71,11,2398,1,2,10,2
A0039733,23,111,ÎLE-DE-FRANCE,11,,6,4,2,2,1,2,1,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,45.209912506,71,11,2830,1,0,0,2
A0039737,23,111,ÎLE-DE-FRANCE,11,,6,6,2,2,2,1,1,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,16,60.410475823,71,11,2700,1,0,0,2
A0039776,23,111,ÎLE-DE-FRANCE,11,,5,2,2,2,1,,,03,2,1,1,2,49,01 Non salarié,CER,00,227D,16,30.688846943,,11,,1,2,2,2
A0039799,23,111,CHAMPAGNE-ARDENNE,21,,6,4,2,2,,,,01,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,31.907312978,71,11,2650,1,0,0,2
A0039858,22,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,03,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,33.179865821,71,11,2859.3125,1,0,13,2
A0039935,29,111,ÎLE-DE-FRANCE,11,,6,4,2,2,3,3,2,03,2,1,1,3,49,"02 CDI, Fonctionnaire",CER,07,382A,14M,29.631985062,71,11,3142,1,0,0,2
A0039976,25,111,ÎLE-DE-FRANCE,11,,6,6,2,2,3,3,2,03,2,1,2,3,49,"02 CDI, Fonctionnaire",CER,07,388A,14M,59.792474139,73,11,3200,1,0,0,2
A0039985,23,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,6,6,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,36.402312827,73,11,3000,1,0,0,2
A0039987,23,111,ÎLE-DE-FRANCE,11,,6,5,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387B,14L,67.877208569,73,11,2546,1,1,1,2
A0040077,23,111,ÎLE-DE-FRANCE,11,,1,1,2,1,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,13M,52.03158772,71,11,3233.625,1,0,0,2
A0040097,23,111,BASSE-NORMANDIE,25,,6,6,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,16,40.720834681,71,11,5081,1,0,0,2
A0040179,23,111,PAYS DE LA LOIRE,52,,3,3,2,1,,,,02,1,1,1,2,49,,CER,00,,16,53.106555728,,11,,2,3,8,2
A0040401,22,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,02,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,00,375B,16,48.501290963,71,11,3033,1,5,5,2
A0040436,24,112,BRETAGNE,53,,6,4,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,374D,16,34.042765689,71,54,1506,1,0,0,2
A0040576,23,111,ÎLE-DE-FRANCE,11,,5,3,2,1,1,,,01,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,33.618179564,71,11,2817,1,6,6,2
A0040626,23,111,CHAMPAGNE-ARDENNE,21,,1,3,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,54.812858323,71,11,2900,1,0,0,2
A0040633,25,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,6,6,2,3,,,,03,2,1,1,2,49,01 Non salarié,CER,00,226A,16,39.287831539,,11,,1,7,,2
A0040714,24,111,CHAMPAGNE-ARDENNE,21,,1,1,1,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",DGA,00,374B,16,70.667611853,71,83,2153.65625,1,0,14,2
A0040753,24,111,RHÔNE-ALPES,82,,2,2,2,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",DGA,00,332B,16,67.797489695,71,83,1842,1,0,3,2
A0040765,25,111,RHÔNE-ALPES,82,,1,5,2,2,,,,02,2,1,1,2,49,04 Emploi à durée déterminée,DGA,00,480A,16,59.389572142,71,83,2137.15625,1,2,38,2
A0040771,24,111,BOURGOGNE,26,,2,2,2,2,,,,03,2,1,2,2,49,04 Emploi à durée déterminée,DGA,00,553C,16,84.958526375,92,83,1238,1,0,27,2
A0040821,23,300,AQUITAINE,72,,2,1,2,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,342E,16,48.305724853,71,72,2500.3125,1,11,27,2
A0040853,23,221,MIDI-PYRÉNÉES,73,,1,2,1,2,,,,03,1,1,2,2,49,04 Emploi à durée déterminée,CER,00,333F,16,97.191356644,71,72,909,1,0,,2
